filename,label
Image_1.jpg,six of clubs
Image_2.jpg,queen of hearts
Image_3.jpg,seven of diamonds
Image_4.jpg,six of spades
Image_5.jpg,eight of spades
Image_6.jpg,king of hearts
Image_7.jpg,ten of spades
Image_8.jpg,jack of diamonds
Image_9.jpg,three of clubs
Image_10.jpg,queen of spades
Image_11.jpg,jack of clubs
Image_12.jpg,six of clubs
Image_13.jpg,eight of clubs
Image_14.jpg,seven of diamonds
Image_15.jpg,eight of clubs
Image_16.jpg,two of diamonds
Image_17.jpg,queen of diamonds
Image_18.jpg,jack of hearts
Image_19.jpg,seven of clubs
Image_20.jpg,seven of spades
Image_21.jpg,six of diamonds
Image_22.jpg,jack of diamonds
Image_23.jpg,ten of hearts
Image_24.jpg,queen of diamonds
Image_25.jpg,six of spades
Image_26.jpg,jack of hearts
Image_27.jpg,nine of spades
Image_28.jpg,ten of spades
Image_29.jpg,seven of hearts
Image_30.jpg,eight of spades
Image_31.jpg,ace of spades
Image_32.jpg,six of diamonds
Image_33.jpg,four of diamonds
Image_34.jpg,ten of diamonds
Image_35.jpg,joker
Image_36.jpg,six of clubs
Image_37.jpg,nine of clubs
Image_38.jpg,five of hearts
Image_39.jpg,three of spades
Image_40.jpg,four of spades
Image_41.jpg,six of spades
Image_42.jpg,ten of clubs
Image_43.jpg,seven of clubs
Image_44.jpg,jack of hearts
Image_45.jpg,seven of spades
Image_46.jpg,six of diamonds
Image_47.jpg,king of spades
Image_48.jpg,six of diamonds
Image_49.jpg,two of spades
Image_50.jpg,nine of diamonds
Image_51.jpg,two of spades
Image_52.jpg,seven of hearts
Image_53.jpg,nine of hearts
Image_54.jpg,ten of clubs
Image_55.jpg,nine of hearts
Image_56.jpg,king of spades
Image_57.jpg,queen of hearts
Image_58.jpg,ace of diamonds
Image_59.jpg,eight of clubs
Image_60.jpg,queen of spades
Image_61.jpg,seven of spades
Image_62.jpg,ace of spades
Image_63.jpg,five of hearts
Image_64.jpg,six of diamonds
Image_65.jpg,two of diamonds
Image_66.jpg,jack of diamonds
Image_67.jpg,seven of diamonds
Image_68.jpg,seven of clubs
Image_69.jpg,two of clubs
Image_70.jpg,ace of clubs
Image_71.jpg,five of clubs
Image_72.jpg,ace of diamonds
Image_73.jpg,two of hearts
Image_74.jpg,four of diamonds
Image_75.jpg,five of spades
Image_76.jpg,ten of spades
Image_77.jpg,nine of diamonds
Image_78.jpg,seven of diamonds
Image_79.jpg,two of spades
Image_80.jpg,seven of clubs
Image_81.jpg,three of diamonds
Image_82.jpg,five of spades
Image_83.jpg,queen of diamonds
Image_84.jpg,seven of clubs
Image_85.jpg,two of hearts
Image_86.jpg,jack of hearts
Image_87.jpg,two of diamonds
Image_88.jpg,three of spades
Image_89.jpg,eight of diamonds
Image_90.jpg,nine of diamonds
Image_91.jpg,jack of hearts
Image_92.jpg,jack of spades
Image_93.jpg,five of spades
Image_94.jpg,nine of spades
Image_95.jpg,six of diamonds
Image_96.jpg,nine of hearts
Image_97.jpg,jack of diamonds
Image_98.jpg,king of diamonds
Image_99.jpg,five of spades
Image_100.jpg,ace of diamonds
Image_101.jpg,six of spades
Image_102.jpg,queen of clubs
Image_103.jpg,jack of spades
Image_104.jpg,jack of hearts
Image_105.jpg,five of diamonds
Image_106.jpg,five of clubs
Image_107.jpg,ten of diamonds
Image_108.jpg,nine of spades
Image_109.jpg,six of diamonds
Image_110.jpg,eight of clubs
Image_111.jpg,six of spades
Image_112.jpg,two of hearts
Image_113.jpg,nine of spades
Image_114.jpg,four of spades
Image_115.jpg,jack of spades
Image_116.jpg,three of clubs
Image_117.jpg,three of hearts
Image_118.jpg,nine of clubs
Image_119.jpg,ten of hearts
Image_120.jpg,ten of spades
Image_121.jpg,five of clubs
Image_122.jpg,ace of diamonds
Image_123.jpg,four of hearts
Image_124.jpg,seven of spades
Image_125.jpg,four of hearts
Image_126.jpg,two of diamonds
Image_127.jpg,three of clubs
Image_128.jpg,king of hearts
Image_129.jpg,six of spades
Image_130.jpg,nine of hearts
Image_131.jpg,king of diamonds
Image_132.jpg,king of clubs
Image_133.jpg,six of hearts
Image_134.jpg,six of diamonds
Image_135.jpg,eight of clubs
Image_136.jpg,eight of spades
Image_137.jpg,three of spades
Image_138.jpg,king of hearts
Image_139.jpg,five of hearts
Image_140.jpg,jack of diamonds
Image_141.jpg,jack of hearts
Image_142.jpg,nine of spades
Image_143.jpg,two of hearts
Image_144.jpg,jack of spades
Image_145.jpg,king of hearts
Image_146.jpg,six of hearts
Image_147.jpg,queen of diamonds
Image_148.jpg,six of diamonds
Image_149.jpg,two of diamonds
Image_150.jpg,three of diamonds
Image_151.jpg,seven of diamonds
Image_152.jpg,five of diamonds
Image_153.jpg,eight of hearts
Image_154.jpg,ten of clubs
Image_155.jpg,ten of diamonds
Image_156.jpg,ten of spades
